Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2007,08,01,19:03:09,40.754,30.082,10.0,3.9,"6 km ENE of Köseköy, Turkey",1185994989
2007,08,01,18:57:16,40.624,27.258,4.9,3.5,"25 km W of Marmara, Turkey",1185994636
2007,07,10,04:06:57,40.364,27.045,8.5,3.0,"22 km NW of Biga, Turkey",1184040417
2007,07,09,18:26:51,40.42,27.83,9.0,3.5,"3 km NE of Erdek, Turkey",1184005611
2007,06,06,08:15:27,40.399,27.449,6.2,3.5,"22 km SSW of Marmara, Turkey",1181117727
2007,05,27,19:43:02,40.729,27.368,6.6,3.3,"18 km SSW of Kumba?, Turkey",1180294982
2007,05,22,20:40:13,40.62,26.95,10.0,3.4,"30 km S of Malkara, Turkey",1179866413
2007,05,10,22:06:05,40.57,26.61,10.0,3.4,"18 km NNW of Gelibolu, Turkey",1178834765
2007,05,10,12:01:43,40.654,29.007,5.5,2.8,"3 km NW of Kocadere, Turkey",1178798503
2007,05,08,04:30:06,40.817,27.512,6.5,3.3,"8 km SSE of Kumba?, Turkey",1178598606
2007,03,17,14:10:56,40.071,27.726,8.0,2.7,"7 km ESE of Gönen, Turkey",1174140656
2007,03,09,13:43:58,40.425,26.287,7.1,3.7,"27 km NNW of Eceabat, Turkey",1173447838
2007,02,16,01:12:15,40.415,27.629,14.0,3.4,"14 km W of Erdek, Turkey",1171588335
2007,02,10,12:55:51,40.576,28.358,16.6,2.8,"40 km N of Karacabey, Turkey",1171112151
2007,02,08,13:18:16,40.84,28.709,10.7,2.8,Western Turkey,1170940696
2007,02,06,01:03:24,40.918,30.841,5.9,3.5,"15 km S of Kocaali, Turkey",1170723804
2007,02,05,11:43:59,40.771,27.41,10.8,3.7,"13 km SSW of Kumba?, Turkey",1170675839
2007,01,28,18:06:59,40.586,28.39,6.4,4.0,"41 km N of Karacabey, Turkey",1170007619
2007,01,25,19:42:46,40.446,27.931,10.0,3.5,"11 km NNW of Band?rma, Turkey",1169754166
2007,01,22,11:50:56,40.219,29.66,12.1,2.7,"5 km S of Yeni?ehir, Turkey",1169466656
2007,01,14,16:35:48,40.714,27.483,10.0,3.9,"15 km NNW of Marmara, Turkey",1168792548
2007,01,14,08:27:45,40.702,29.156,13.2,2.7,"5 km N of Koruköy, Turkey",1168763265
