29.148	40.532	3.0	0.185
29.114	40.64	3.2	0.202
29.871	40.818	3.5	0.228
30.016	40.744	4.8	0.338
30.16	40.659	4.2	0.287
29.162	40.615	4.1	0.278
30.823	40.73	3.8	0.253
30.773	40.638	4.5	0.312
29.179	40.564	3.9	0.262
29.293	40.658	3.8	0.253
29.522	41.125	3.3	0.21
29.159	40.599	3.9	0.262
30.819	40.753	4.2	0.287
30.677	40.573	4.3	0.296
29.708	40.694	4.0	0.27
29.274	40.58	4.5	0.312
29.994	40.72	4.1	0.278
29.152	40.652	3.8	0.253
29.138	40.618	5.2	0.372
29.019	40.493	3.9	0.262
29.2	40.608	4.5	0.312
30.769	40.619	4.7	0.33
30.675	40.862	4.0	0.27
30.705	40.673	3.9	0.262
30.765	40.631	3.8	0.253
30.915	40.649	4.1	0.278
30.588	40.759	4.2	0.287
30.079	40.763	4.1	0.278
30.647	40.678	3.9	0.262
29.287	40.721	3.8	0.253
29.086	40.597	4.0	0.27
30.425	40.687	3.8	0.253
29.012	40.151	3.8	0.253
30.345	40.98	3.7	0.245
29.965	40.642	3.9	0.262
30.668	40.631	4.4	0.304
30.197	40.568	4.0	0.27
30.706	40.675	3.7	0.245
29.942	40.711	4.5	0.312
30.261	40.902	4.1	0.278
30.602	40.877	3.9	0.262
30.741	40.655	4.1	0.278
30.84	40.676	4.3	0.296
30.753	40.741	4.2	0.287
30.651	40.674	4.6	0.321
30.617	40.644	4.0	0.27
29.964	40.736	4.0	0.27
30.597	40.682	3.6	0.236
28.482	40.957	3.9	0.262
30.203	40.739	4.1	0.278
30.347	40.845	4.6	0.321
30.833	40.882	4.2	0.287
30.408	40.739	4.1	0.278
30.466	40.585	4.5	0.312
29.194	40.694	4.2	0.287
30.85	40.649	3.9	0.262
30.389	40.727	4.1	0.278
30.3	40.755	4.2	0.287
30.688	40.616	5.1	0.364
30.113	40.715	4.9	0.347
30.648	40.561	4.8	0.338
30.708	40.643	4.5	0.312
29.11	40.709	4.2	0.287
30.241	40.945	3.9	0.262
30.865	41.167	3.9	0.262
29.294	40.257	3.4	0.219
28.985	40.96	4.0	0.27
30.717	40.594	4.0	0.27
29.117	40.648	4.6	0.321
29.061	40.7	4.2	0.287
30.018	40.7	4.6	0.321
29.801	40.711	4.1	0.278
30.547	40.696	4.0	0.27
30.646	40.654	4.4	0.304
29.947	40.722	4.1	0.278
30.435	40.653	4.6	0.321
29.97	40.741	5.0	0.355
30.751	40.648	4.9	0.347
29.864	40.748	7.6	0.576
29.163	40.689	2.7	0.16
28.934	41.175	2.5	0.143
29.253	40.515	2.6	0.151
29.111	40.149	2.6	0.151
29.135	40.429	2.6	0.151
29.839	40.739	2.7	0.16
29.23	40.604	2.9	0.176
29.745	40.701	2.8	0.168
29.994	40.678	3.1	0.194
28.082	40.729	2.6	0.151
28.824	40.135	2.4	0.134
27.493	40.66	2.6	0.151
27.269	40.672	2.6	0.151
29.782	40.709	2.7	0.16
29.867	40.735	2.6	0.151
29.842	40.749	3.4	0.219
28.975	40.254	2.6	0.151
28.178	40.166	2.3	0.126
29.991	40.701	2.9	0.176
29.795	40.736	2.6	0.151
29.842	40.688	3.3	0.21
28.761	40.867	2.9	0.176
29.235	40.417	2.8	0.168
27.574	40.626	3.1	0.194
27.659	40.57	2.8	0.168
27.553	40.596	3.2	0.202
27.502	40.625	3.2	0.202
29.311	40.907	2.7	0.16
30.017	40.229	2.8	0.168
29.862	40.721	3.0	0.185
29.579	40.649	2.6	0.151
27.211	40.265	3.0	0.185
26.792	40.481	2.6	0.151
29.17	40.561	2.7	0.16
27.364	40.746	2.5	0.143
28.197	40.467	2.5	0.143
29.195	40.308	2.6	0.151
27.489	40.556	2.7	0.16
27.635	40.61	2.5	0.143
27.363	40.273	3.0	0.185
29.188	40.695	2.9	0.176
29.265	40.753	2.5	0.143
27.76	40.059	2.9	0.176
29.278	40.708	2.7	0.16
28.199	40.45	2.8	0.168
28.878	41.138	2.5	0.143
29.561	40.239	2.4	0.134
29.281	40.533	2.8	0.168
28.845	41.106	2.6	0.151
28.11	40.241	2.8	0.168
28.181	41.422	2.6	0.151
30.108	40.68	2.4	0.134
29.375	40.817	2.6	0.151
30.011	40.702	2.5	0.143
29.324	40.994	2.7	0.16
27.789	40.253	2.8	0.168
29.923	40.757	3.0	0.185
30.18	40.815	3.0	0.185
27.739	40.56	2.8	0.168
27.661	40.554	2.7	0.16
28.833	41.175	2.7	0.16
28.835	40.394	2.6	0.151
30.015	40.709	2.5	0.143
29.952	40.683	3.0	0.185
29.995	40.68	2.6	0.151
30.004	40.712	2.9	0.176
27.95	40.871	3.1	0.194
29.367	41.147	2.6	0.151
28.752	40.851	2.7	0.16
29.339	40.332	2.6	0.151
28.814	40.911	2.9	0.176
29.309	40.281	2.6	0.151
28.762	40.826	2.5	0.143
28.795	40.88	2.7	0.16
28.769	40.845	3.2	0.202
28.8	40.842	2.8	0.168
28.083	40.771	2.5	0.143
27.979	40.784	2.7	0.16
29.321	40.274	2.6	0.151
27.767	40.814	2.7	0.16
28.931	40.365	2.6	0.151
29.31	40.284	3.0	0.185
29.33	40.331	2.6	0.151
29.339	40.354	3.1	0.194
29.316	40.3	3.2	0.202
30.022	40.647	2.8	0.168
28.959	40.132	2.8	0.168
29.313	40.912	2.6	0.151
