fid,soft,deficient,n_storey,fc_MPa,rho_long,r_k,T1_s,T_star_s,Gamma,m_star_kg,V_max_N,D_max_m,U_Y_m,F_Y_N,U_M_m,F_E_N,q,mu,Sa_yield_g,Sd_yield_m,Sae_star_g,ag_g,soil,status
22,False,True,5,21.72,0.0125542055191985,1.0,0.6692,0.8195308129366327,1.2802218564191015,195875.28690727084,341663.83032138785,0.4287500000000003,0.021825405486466942,251287.64109483632,0.3349028903468759,1617275.9375228295,6.4359549497799105,15.344635432067266,0.13081899497954055,0.021825405486466942,0.8419451582638074,0.4,C,ok
23,False,True,7,17.23,0.0129062363799323,1.0,0.9527,1.179205302379203,1.2876791369758034,268212.9861179201,326988.7050480821,0.3395000000000002,0.030949695990822285,235676.93352930754,0.26365263694287816,1539076.277688374,6.530449351323483,8.518747228440008,0.08960177268937229,0.030949695990822285,0.5851398383367454,0.4,C,ok
24,False,True,4,19.75,0.008424050920394,1.0,0.562,0.6901262619765298,1.2742534193586013,159055.25578705873,252854.5598446971,0.3992500000000003,0.014351023481133986,189205.40015708568,0.3133207209292511,1559513.8512637445,8.242438376330567,21.832639417052448,0.1213011246742183,0.014351023481133986,0.9998170451068356,0.4,C,ok
25,False,True,3,22.92,0.0105740778504487,1.0,0.451,0.5238628243609333,1.2505258678101423,126085.35531513838,280905.84578743204,0.35250000000000026,0.011782622764329675,213713.125906078,0.28188141411043377,1421946.192156382,6.653527648934837,23.923486285565577,0.17284064344184447,0.011782622764329675,1.15,0.4,C,ok
26,False,True,4,16.58,0.0100475449428941,1.0,0.5792,0.7097586037026907,1.273675567962169,159313.90419352058,286563.74805830326,0.34700000000000025,0.01701155165866941,212390.95330409374,0.2724398651653393,1518842.6408389746,7.151164478575273,16.014992084893017,0.13594450507655745,0.01701155165866941,0.9721615157609735,0.4,C,ok
27,False,True,8,20.87,0.0094851586425198,1.0,1.0013,1.2964462450812921,1.2965854169500666,299042.4910786523,279723.402488739,0.6160000000000005,0.028905754098230207,203033.59940613518,0.4750940369582482,1560803.2256032955,7.687413463429599,16.435967570461568,0.06923318901836208,0.028905754098230207,0.5322241493759229,0.4,C,ok
28,False,True,8,18.32,0.0138920059344478,1.0,1.0393,1.2945644190585532,1.2916230066662522,303029.2643622031,355884.92360160465,0.3880000000000003,0.03582845339581425,255755.53243440532,0.30039725058896943,1583910.6229166335,6.193064946983563,8.38432089910038,0.08606365577630821,0.03582845339581425,0.532997809797514,0.4,C,ok
29,False,True,3,23.46,0.0112543281791204,1.0,0.4446,0.5312248244451333,1.2507681984945573,125988.99159518426,298082.9082223822,0.3780000000000003,0.012772158112589083,225112.6495034826,0.30221427156124253,1420859.4360909506,6.3117707477783,23.661958213887143,0.18219926641106096,0.012772158112589083,1.15,0.4,C,ok
30,True,False,8,26.87,0.0138410474886175,0.4389865110989411,0.9967,1.4100341237051726,1.2883409258108773,316619.7855787735,596350.5239708797,1.2473668457760057,0.06884183747246275,432803.72990127804,0.9681962443216785,1519421.2423314098,3.5106472919676266,14.064067431508699,0.13939020886231093,0.06884183747246275,0.48934985926927377,0.4,C,ok
31,True,False,2,33.42,0.0141258071666526,0.3513893852966265,0.4028,0.5513271274105997,1.14065459325153,104054.52127348242,414343.00372148183,0.5063846985007628,0.02427937421544235,328125.10308061127,0.4439421902973025,1173490.2117035857,3.576349997870451,18.284745988837845,0.32155689479071425,0.02427937421544235,1.15,0.4,C,ok
