fid,rid,level,sa_target_g,sa_record_g,scale,T1_s,midr,ds_index,damage_state,status,soft,deficient,n_storey,fc_MPa,rho_long,r_k,mw,rjb_km,vs30,pga_g,runtime_s
0,TK-1999-0415_498_HNN,3,0.65,0.48123,1.3507,0.5129,0.007097737967411589,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.0,712.0,0.3967,4.99
0,TK-1999-0415_498_HNN,4,1.1,0.48123,2.2858,0.5129,0.011934566120000082,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.0,712.0,0.3967,5.82
0,TK-1999-0415_498_HNN,5,2.0,0.48123,4.156,0.5129,0.028650684004394314,2,Moderate,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.0,712.0,0.3967,6.53
0,TK-1999-0415_C0362_HNN,0,0.05,0.07675,0.6514,0.5129,0.0004725734293473138,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,48.8,883.0,0.0441,1.8
0,TK-1999-0415_C0362_HNN,1,0.15,0.07675,1.9543,0.5129,0.002078403206602157,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,48.8,883.0,0.0441,2.4
0,TK-1999-0415_C0362_HNN,2,0.35,0.07675,4.5601,0.5129,0.00965961896826037,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,48.8,883.0,0.0441,2.82
0,TK-1999-0415_C0362_HNN,3,0.65,0.07675,8.4688,0.5129,0.01597238691292732,2,Moderate,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,48.8,883.0,0.0441,3.02
0,TK-1999-0415_C0362_HNN,4,1.1,0.07675,14.3319,0.5129,0.034939274125419494,3,Heavy,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,48.8,883.0,0.0441,3.37
0,TK-1999-0415_C0362_HNN,5,2.0,0.07675,26.0579,0.5129,0.09316575940159526,4,Collapse,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,48.8,883.0,0.0441,4.8
0,TK-1999-0415_C0375_HNN,0,0.05,0.90589,0.0552,0.5129,0.00044980089405356256,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.4,794.0,0.8873,1.55
0,TK-1999-0415_C0375_HNN,1,0.15,0.90589,0.1656,0.5129,0.0010371861901649164,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.4,794.0,0.8873,1.74
0,TK-1999-0415_C0375_HNN,2,0.35,0.90589,0.3864,0.5129,0.0018989315837789702,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.4,794.0,0.8873,2.1
0,TK-1999-0415_C0375_HNN,3,0.65,0.90589,0.7175,0.5129,0.0055443147588033715,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.4,794.0,0.8873,2.61
0,TK-1999-0415_C0375_HNN,4,1.1,0.90589,1.2143,0.5129,0.013345848464240799,2,Moderate,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.4,794.0,0.8873,3.15
0,TK-1999-0415_C0375_HNN,5,2.0,0.90589,2.2078,0.5129,0.020707471629459354,2,Moderate,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.4,794.0,0.8873,3.39
0,TK-1999-0415_C1058_HNE,0,0.05,0.15925,0.314,0.5129,0.0004623472173659884,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,18.0,893.0,0.1066,1.45
0,TK-1999-0415_C1058_HNE,1,0.15,0.15925,0.9419,0.5129,0.0014385077503297806,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,18.0,893.0,0.1066,1.7
0,TK-1999-0415_C1058_HNE,2,0.35,0.15925,2.1978,0.5129,0.0036361404993607315,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,18.0,893.0,0.1066,2.24
0,TK-1999-0415_C1058_HNE,3,0.65,0.15925,4.0817,0.5129,0.009697928787398074,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,18.0,893.0,0.1066,3.0
0,TK-1999-0415_C1058_HNE,4,1.1,0.15925,6.9075,0.5129,0.03542195496325771,3,Heavy,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,18.0,893.0,0.1066,2.68
0,TK-1999-0415_C1058_HNE,5,2.0,0.15925,12.5591,0.5129,0.1,4,Collapse,collapse,False,False,4,29.51,0.0134819003474722,1.0,7.2,18.0,893.0,0.1066,0.81
0,TK-1999-0415_C1059_HNN,0,0.05,0.18949,0.2639,0.5129,0.00046558135089323874,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.6,877.0,0.152,2.09
0,TK-1999-0415_C1059_HNN,1,0.15,0.18949,0.7916,0.5129,0.0014550095381111754,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.6,877.0,0.152,2.09
0,TK-1999-0415_C1060_HNE,0,0.05,0.05834,0.8571,0.5129,0.0004982925512353292,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,50.4,626.0,0.0531,2.04
