fid,rid,level,soft,deficient,midr_sim,midr_pred,ds_true,ds_pred
0,TK-1999-0415_1406_HNN,4,False,False,0.0150789091603226,0.020355363647498098,2,2
0,TK-1999-0415_1406_HNN,5,False,False,0.0361635800055789,0.04381069117420078,3,3
0,TK-1999-0415_8101_HNE,4,False,False,0.0296037871425733,0.039302512440035506,2,3
0,TK-1999-0415_8101_HNE,5,False,False,0.0628287834035193,0.07199519298353875,4,4
0,INT-20250810_0000200_AKS_HNN,0,False,False,0.0004564731455223,0.00046550045799512944,0,0
0,INT-20250810_0000200_AKS_HNN,1,False,False,0.0014109676500458,0.001514794227657522,0,0
0,INT-20250810_0000200_AKS_HNN,2,False,False,0.0032389339381234,0.004372757717663278,0,0
0,INT-20250810_0000200_AKS_HNN,3,False,False,0.0048386387494394,0.007743566807563951,0,1
0,INT-20250810_0000200_AKS_HNN,4,False,False,0.0084566601261478,0.01494366328038685,1,2
0,INT-20250810_0000200_AKS_HNN,5,False,False,0.0148908093721672,0.030626876002577456,2,3
0,INT-20250810_0000200_BALB_HNE,0,False,False,0.0004627261658137,0.00047538877362407245,0,0
0,INT-20250810_0000200_BALB_HNE,1,False,False,0.0015773621591184,0.0017283779293909038,0,0
0,INT-20250810_0000200_BALB_HNE,2,False,False,0.0041822085253906,0.0055139878773284535,0,1
0,INT-20250810_0000200_BALB_HNE,3,False,False,0.0090219555081035,0.009211355012506393,1,1
0,INT-20250810_0000200_BALB_HNE,4,False,False,0.0157351022378969,0.0162858067670699,2,2
0,INT-20250810_0000200_BALB_HNE,5,False,False,0.0222041926775021,0.029936395493517787,2,2
0,INT-20250810_0000200_GORD_HNN,0,False,False,0.0004723934823545,0.0004594455694987862,0,0
0,INT-20250810_0000200_GORD_HNN,1,False,False,0.0023161118326674,0.0015004313353843318,0,0
0,INT-20250810_0000200_SOMA_HNN,0,False,False,0.0004698520875193,0.0004626389516005204,0,0
0,INT-20250810_0000200_SOMA_HNN,1,False,False,0.001340984367768,0.0015240313083443656,0,0
0,INT-20250810_0000200_SOMA_HNN,2,False,False,0.0027053110939531,0.004321847813066192,0,0
0,INT-20250810_0000200_SOMA_HNN,3,False,False,0.0047586212361647,0.007007066384553919,0,1
0,INT-20250810_0000200_GORD_HNN,2,False,False,0.0036785016887052,0.0031840595819783105,0,0
0,INT-20250810_0000200_GORD_HNN,3,False,False,0.0065011190266856,0.004907911800792854,1,1
0,INT-20250810_0000200_GORD_HNN,4,False,False,0.0156631805061122,0.009248237400950552,2,1
0,INT-20250810_0000200_GORD_HNN,5,False,False,0.0232551480725391,0.016436328602667586,2,2
0,INT-20250810_0000200_SOMA_HNN,4,False,False,0.0076637750884753,0.011726629847763025,1,2
0,INT-20250810_0000200_SOMA_HNN,5,False,False,0.0149192709983789,0.02086202976538595,2,2
0,TK-1999-0294_1612_HNE,0,False,False,0.0004763354605564,0.00043167402445484337,0,0
0,TK-1999-0294_1612_HNE,1,False,False,0.0016591229367453,0.0015898282584521164,0,0
0,TK-1999-0294_1612_HNE,2,False,False,0.0044998508516128,0.004056639883934656,0,0
0,TK-1999-0294_1612_HNE,3,False,False,0.0065844184193012,0.007530100552108317,1,1
0,TK-1999-0294_1612_HNE,4,False,False,0.0151252986170006,0.012928068418082516,2,2
0,TK-1999-0294_1612_HNE,5,False,False,0.0308413622199467,0.026542523362406,3,3
0,TK-2003-0179_1701_HNN,0,False,False,0.0004659005190629,0.00044409215042683347,0,0
0,TK-2003-0179_1701_HNN,1,False,False,0.0016086991127444,0.001330805274250927,0,0
0,TK-2003-0179_1701_HNN,2,False,False,0.005238241858237,0.0028901925096571942,1,0
0,TK-2003-0179_1701_HNN,3,False,False,0.0109006446588878,0.0044839023997228595,1,1
0,TK-2003-0179_1701_HNN,4,False,False,0.0153208772298559,0.007492884667150024,2,1
0,TK-2003-0179_1701_HNN,5,False,False,0.0296742185115658,0.013520541374691797,2,2
0,TK-1999-0294_4101_HNE,0,False,False,0.000453592743574,0.00045483521313704377,0,0
0,TK-1999-0294_4101_HNE,1,False,False,0.0012948600341063,0.0015160879027082137,0,0
0,TK-1999-0294_4101_HNE,2,False,False,0.0025913842870595,0.004231760792991134,0,0
0,TK-1999-0294_4101_HNE,3,False,False,0.0046032381593869,0.007722510250275013,0,1
0,TK-1999-0294_4101_HNE,4,False,False,0.0082328699281593,0.0194943449928216,1,2
0,TK-1999-0294_4101_HNE,5,False,False,0.0162584155431022,0.04141024013816464,2,3
0,TK-1999-0294_4107_HNE,0,False,False,0.0004658500409706,0.0004281160578344831,0,0
0,TK-1999-0294_4107_HNE,1,False,False,0.0017108993526659,0.0016271807389304936,0,0
0,TK-1999-0294_4107_HNE,2,False,False,0.0044226086961919,0.005006821088062309,0,1
0,TK-1999-0294_4107_HNE,3,False,False,0.0117283544252402,0.009329792777999888,1,2
0,TK-1999-0294_4107_HNE,4,False,False,0.0270579332981666,0.017100182890928246,2,2
0,TK-1999-0294_4107_HNE,5,False,False,0.0635200742340328,0.03379148537004971,4,3
0,TK-1999-0294_5401_HNE,0,False,False,0.0004944626621561,0.0005756648926494767,0,0
0,TK-1999-0294_5401_HNE,1,False,False,0.001430909335894,0.0028414910052964037,0,0
0,TK-1999-0294_5401_HNE,2,False,False,0.0025663344246818,0.007441311822667617,0,1
0,TK-1999-0294_5401_HNE,3,False,False,0.0039626395312986,0.015263162681842812,0,2
0,TK-1999-0294_5401_HNE,4,False,False,0.0079812274778903,0.02943955209042887,1,3
0,TK-1999-0294_5401_HNE,5,False,False,0.0144214846915545,0.04613431903628936,2,4
0,EMSC-20200122_0000127_GOMA_HNE,0,False,False,0.0004824173099851,0.0004576381512839892,0,0
0,EMSC-20200122_0000127_GOMA_HNE,1,False,False,0.0018273680472512,0.001553895278924322,0,0
0,EMSC-20200122_0000127_GOMA_HNE,2,False,False,0.0051446166802021,0.003558226010610159,1,0
0,EMSC-20200122_0000127_GOMA_HNE,3,False,False,0.008555694380015,0.00671498002969926,1,1
0,EMSC-20200122_0000127_GOMA_HNE,4,False,False,0.0153008286331761,0.009827651792942834,2,2
0,EMSC-20200122_0000127_GOMA_HNE,5,False,False,0.0198859136453627,0.01660698904878797,2,2
0,EMSC-20200122_0000127_SOMA_HNN,0,False,False,0.0004732874505369,0.0004227012620946021,0,0
0,EMSC-20200122_0000127_SOMA_HNN,1,False,False,0.0013369067211114,0.0012456849034073745,0,0
0,EMSC-20200122_0000127_SOMA_HNN,2,False,False,0.0039420567429668,0.002665040197329821,0,0
0,EMSC-20200122_0000127_SOMA_HNN,3,False,False,0.0058539917059835,0.0055379384125306555,1,1
0,EMSC-20200122_0000127_SOMA_HNN,4,False,False,0.0102232970354269,0.01082606617402081,1,1
0,EMSC-20200122_0000127_SOMA_HNN,5,False,False,0.0171008302339493,0.01761534743663383,2,2
1,TK-1999-0077_YPT_HNN,0,False,False,0.0003198809363566,0.0003005763902387272,0,0
1,TK-1999-0077_YPT_HNN,1,False,False,0.0012249407755181,0.0009810165420164989,0,0
